Medicine,Opening Stock,Purchase,Sales,Closing Stock
LACTOGEN 1 POWDER 1KG TIN,0::0,1,0,0
NESTLE NAN PRO 1 STARTER INFANT FORMULA POWDER - 400 G,0::0,2,0,0
PLACIDA PLUS TABLET,0::0,0,0::5,0
SUCRAFIL O GEL 200ML,0::0,0,1,2
NS 100ML INJECTION 100 MILLILITRE,207::0,0,3,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,2,1
DISPOVAN SYRINGE 10ML,414::0,0,3,0
NEEDLE NO.18*1.5,94::0,0,3,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,1,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
ONDODER INJ 2ML,63::0,0,2,0
PANTOZEE 40MG INJ,14::0,0,2,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,2,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,2,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,1,1
DISPOVAN SYRINGE 10ML,414::0,0,2,0
DISPOVAN SYRNGE 5ML,738::0,0,2,405
DNS BOTTLE 500 MILLILITRE,88::0,0,1,0
NEEDLE NO.18*1.5,94::0,0,3,0
ONDODER INJ 2ML,63::0,0,3,0
PANTOZEE 40MG INJ,14::0,0,3,0
PARAZEX IV 100ML,0::0,0,3,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,1,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,2,0
TROYPIPERA T 4.5GM INJ,52::0,0,3,5
NUROKIND GOLD INJECTION,0::0,0,1,0
NUROKIND GOLD INJECTION,0::0,0,1,0
ACICA SP TAB 10,0::0,0,0::5,7::9
CIPLOX 500MG TABLET,4::5,0,0::5,0
VERTEFLEX 10 10,7::6,0,0::5,3::9
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
ESOIN DSR CAP 10S,0::0,0,1,0
ONFUROX 500 MG TAB 10S,0::3,0,0::3,0
ONFUROX 500 MG TAB 10S,0::0,0,0::5,0
ONFUROX 500 MG TAB 10S,0::3,0,0::2,0
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
CYCLOFIT SP TABLET,21::3,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
ONFUROX 500 MG TAB 10S,0::0,0,1,0
LIBRIUM 10MG STRIP OF 15 TABLETS,0::0,0,0::3,0
ENERZIP POWDER,650::0,0,5,26
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,0::0,0,3,37
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,0::0,0,3,37
PAUSE 500MG TABLET,0::0,0,0::3,1::7
ACICA SP TAB 10,0::0,0,1,7::9
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,91::0,0,1,1
NS 100ML INJECTION 100 MILLILITRE,207::0,0,1,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,1,2
THIMIPLEX (THIAMINE) INJ 2ML,10::0,0,1,2
ASTHALIN RESPULES 2.5ML 1*5,6::0,0,2,0
PLACIDA PLUS TABLET,0::0,0,0::5,0
RESPISMART N  TAB 10S,8::1,0,0::6,5::9
BECOZINC  CAP 30S,0::0,0,0::10,0
NUZORB  TAB 2 GM,1::10,0,0::10,0
GDRESS 15 8X15CM,0::0,0,1,4
TUSQ DX COUGH SYRUP 100ML,1::0,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
ONFUROX 500 MG TAB 10S,0::0,0,1,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
REETAC INJ 2ML,0::0,0,4,0
ADULT DIAPER  LARGE 10 PCS DIAPER 10,0::0,0,2,1
CIR BED BATH WIPES 10S,36::0,0,2,3
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,0::5,0::-2
PAN 40MG STRIP OF 15 TABLETS,5::10,0,0::5,0::3
TOSSEX DMR KIWI FLAV SF SYP 100ML,2::0,0,1,1
ZEMOXY INJ 1.2GM,0::0,0,0,0
GELUSIL MPS BOTTLE OF 200ML LIQUID,0::0,0,1,0
LIBRIUM 25MG STRIP OF 15 TABLETS,0::0,0,1,0
ASCORIL LS JUNIOR BOTTLE OF 60ML EXPECTORANT,0::0,0,1,0
CALPOL 500MG STRIP OF 15 TABLETS,2::10,0,0::10,0
CARILITE  SYP 200ML,2::0,0,1,6
ENERZIP POWDER,650::0,0,10,26
