Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity
TYNOR THUMB SPICA,GENERAL SURGERY,SPINLT,0::0,4::0,2
2 WAY FOLEYS BALLON CATHETER FG-16,GENERAL MEDICINE,PACKET,4::0,5::0,4
A TO Z NS NEW STRIP OF 15 TABLETS,GENERAL MEDICINE,PACKET,1::0,0::0,0
A TO Z NS STRAWBERRY FLAVOUR BOTTLE OF 15ML DROPS,PED,PACKET,80::0,905::0,70
AAPSON C FIT HINGED KNEE SUPPORT M,ORTH,BOX,0::0,23::0,5
AAPSON C FIT WRIST AND THUMB SUPPORT(NEO,ORTH,BOX,1::0,5::0,1
AAPSON FINGER COT S,ORTH,PACKET,0::0,4::0,0
AAPSON FINGER EXTENSION SPLINT,ORTH,PACKET,0::0,0::0,0
AAPSON KNEE IMMOBILIZER L,ORTH,PACKET,0::0,0::0,0
AAPSON KNEE IMMOBILIZER M,ORTH,PACKET,0::0,0::0,0
AAPSON PELVIC BINDER L,ORTH,STRIP,2::5,6::0,2
AAPSON PELVIC BINDER XL,ORTH,BOTTLE,3::0,155::0,4
AAPSON SHOULDER IMMOBILISER REG M,ORTH,BOX,0::0,1::0,1
AAPSON SHOULDER IMMOBILISER SPL (ELASTIC,ORTH,BOX,0::0,5::0,1
AAPSON SOFT CERVICAL COLLAR M,ORTH,BOX,0::0,0::0,0
AAPSON TENNIS ELBOW SUPPORT UNIVERSAL,ORTH,BOX,0::0,0::0,0
AAPSON WRIST FOREARM SPLINT LEFT/RIGH,ORTH,BOX,0::0,3::0,0
ABDOMINAL BELT,ORTH,BOX,0::0,2::0,0
ABGEL,GENERAL MEDICINE,BOX,0::0,0::0,0
ABSOLUT GOLD STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,1::0,1::0,1
ABSOLUT WOMAN CAP,GENERAL MEDICINE,BOX,1::0,1::0,0
ABSORBENT COTTON 200GM,HOSPITAL CPMH,BOX,1::0,2::0,0
ABSORBENT COTTON 20GM,HOSPITAL CPMH,BOX,0::0,2::0,0
ABSORBENT COTTON WOOL 20 GM,HOSPITAL CPMH,BOX,1::0,2::0,1
ABZ SYP,GENERAL MEDICINE,BOX,1::0,2::0,1
ACECLOWAL MR TAB 10'S,GENERAL MEDICINE,BOX,0::0,0::0,0
ACECLOWAL SP,GENERAL MEDICINE,BOX,1::0,10::0,0
AAPSON SOFT CERVICAL COLLAR M,ORTH,BOX,1::0,1::0,0
AAPSON TENNIS ELBOW SUPPORT UNIVERSAL,ORTH,BOX,0::0,3::0,0
AAPSON WRIST FOREARM SPLINT LEFT/RIGHT,ORTH,BELT,0::0,5::0,2
